method,dataset,delta,avg_time_ms,avg_candidates,construction_time_min,index_size_mb
LES3,retail,0.9,0.428174,3935,13.02,0.98
LES3,retail,0.8,0.531994,5426,13.02,0.98
LES3,retail,0.7,0.722223,7989,13.02,0.98
LES3,retail,0.6,1.10971,13953,13.02,0.98
LES3,retail,0.5,1.71595,24186,13.02,0.98
DualTrans,retail,0.9,4.12857,33575,0.0677924,11.45
DualTrans,retail,0.8,6.15341,48775,0.0677924,11.45
DualTrans,retail,0.7,7.95097,64458,0.0677924,11.45
DualTrans,retail,0.6,8.91825,72677,0.0677924,11.45
DualTrans,retail,0.5,10.0893,81196,0.0677924,11.45
